Job Salary,Job Experience Required,Role Category,Functional Area,Industry,Job Title,Skills List
"250,000",4.0,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Industrial Engineer,"Execution, Production Planning, Production Engineering"
"200,000",2.5,Corporate Sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive,"industrial sales, sales engineer, industrial marketing, business development, Cutting Tools, sales, marketing, industrial product sales, industrial machinery, machine tools"
"175,000",0.5,Other,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Fresher,"Digital Marketing, Fresher, Mba Fresher"
"1,450,000",9.5,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS",Chartered Accountant,"FPA, ifrs"
"475,000",4.0,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Software Developer,"Javascript, JQuery, CSS, HTML, Laravel, Ajax, MVC Architecture, MySQL, Angularjs, PHP, php mysql"
"500,000",4.5,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,"area sales executive, ase, sales officer, territory executive, territory manager, business development executive, territory sales officer"
"250,000",0.5,Other,"Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Trainee,"Diploma, Production Engineering, Hiring, Mechanical Engineering"
"300,000",2.5,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",HR Manager,"call centre, bd, hr, sales, sourcing, talent acquisition, fresher, recruitment, outbound, hotel, office work, airline, flexi, bba, bpo, manager, recruiter, ites, client servicing, engineering, mba, human resource, travel, operation, mba fresher, supervisor"
"250,000",1.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Telecalling,"international calling, incentives, b2b, web technologies, bpo sales, selling, Outbound Calling"
"425,000",2.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"sql queries, unix shell scripting, pl, 11g, plsql, oracle 10g, performance tuning, forms, triggers"
"300,000",4.5,Retail Sales,"Sales , Retail , Business Development",Other,Sales,"doors, glass, sales"
"350,000",3.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"Javascript, CSS, HTML, JQuery, MySQL, Mean Stack, PHP, Node.Js, LAMP, Angularjs"
"1,875,000",8.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"Java, CSS, Hibernate, HTML, JSON, Spring, SQL, Rest, JUnit, Ajax"
"600,000",4.0,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Real Estate, Property",Product,"Brand Marketing, Marketing Strategy, Sales, Events, Marketing Management, Road Shows, Atl, Exhibitions, Btl, Branding"
"800,000",7.5,Engineering Design,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Technical Lead,"Team Management, Project Management, boq, dpr, design, rate analysis"
"175,000",1.5,Programming & Design,"IT Software - Application Programming , Maintenance","Pharma, Biotech, Clinical Research",Graphic,"graphic designing, cartons, software design, photo shop, corel draw, web desiging, cad, web designer, mca, bca, pharma, graphic, graphic designer, art work, ncr"
"550,000",4.5,Programming & Design,IT Software - Telecom Software,"IT-Software, Software Services",Software Developer,"Java EE, memory management, software development, socket programming, design patterns, multithreading, mysql, jee, core java, sql"
"850,000",6.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,"sql scripting, query studio, cognos bi, design development, cognos framework manager, administration, report studio, framework manager, cube, Tableau, cognos report studio, analysis studio"
"1,700,000",10.5,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Product Manager,"program delivery, program management, product development, distribution system, software product management, agile, user stories, user experience"
"287,500",2.5,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate,"BPO, tech support, Customer Service, csr, technical, inbound, Semi Voice, BPO fresher, call center, tsr, voice process, cse, outbound, Technical Support, cso, International BPO"
